State,Day,Clinton,Trump,Date,Pollster
Ohio,257,39,42,9/14/16,Suffolk U.-3
Ohio,254.5,39,44,9/12/16,Selzer-4
Ohio,253.5,41,46,9/12/16,Opinion Research-6
Ohio,252,46,39,9/9/16,YouGov-3
Ohio,246.5,37,41,9/7/16,Quinnipiac U.-10
Ohio,239.5,46,42,8/27/16,PPP-2
Ohio,239,43,43,8/27/16,Emerson Coll.-3
Ohio,233.5,37,40,9/1/16,SurveyMonkey-24
Ohio,232.5,43,39,8/21/16,Monmouth U.-4
Ohio,231,46,40,8/19/16,YouGov-3
Ohio,218,39,35,8/7/16,Marist Coll.-5
Ohio,216,44,42,8/7/16,Quinnipiac U.-9
Ohio,205,39,42,7/24/16,PPP-3
Ohio,201,43,39,7/20/16,Suffolk U.-3
Ohio,196,44,40,7/15/16,YouGov-3
Ohio,189.5,38,35,7/10/16,Marist Coll.-6
Ohio,187.5,36,37,7/11/16,Quinnipiac U.-12
Ohio,177,41,38,6/28/16,RABA Research-7
Ohio,174.5,44,40,6/23/16,PPP-2
Ohio,165.5,38,36,6/19/16,Quinnipiac U.-12
Ohio,138.5,44,39,5/19/16,YouGov-4
Ohio,137,41,42,5/31/16,Morning Consult-31
Ohio,123.5,43,39,5/8/16,Quinnipiac U.-12
Ohio,117.5,45,42,4/27/16,PPP-2
Ohio,67,48,42,3/10/16,Marist Coll.-7
Ohio,64,50,43,3/6/16,Opinion Research-5
Ohio,63.5,45,40,3/4/16,PPP-2
Ohio,49,42,44,2/20/16,Quinnipiac U.-5
Ohio,46,42,40,2/29/16,Morning Consult-29
Ohio,1,50,48,1/1/16,Election 2012-1
Oklahoma,293,30,60,10/20/16,Sooner Poll-3
Oklahoma,258,36,51,9/15/16,Sooner Poll-3
Oklahoma,233.5,26,49,9/1/16,SurveyMonkey-24
Oklahoma,204.5,29,53,7/25/16,Sooner Poll-6
Oklahoma,137,34,48,5/31/16,Morning Consult-31
Oklahoma,46,34,48,2/29/16,Morning Consult-29
Oklahoma,1,33,67,1/1/16,Election 2012-1
Oregon,285,48,38,10/12/16,SurveyUSA-3
Oregon,283.5,43,36,10/13/16,DHM Research-8
Oregon,283,46,36,10/14/16,Riley Research-11
Oregon,247.5,38,25,9/6/16,DHM Research-6
Oregon,233.5,47,32,9/1/16,SurveyMonkey-24
Oregon,177,45,32,6/27/16,iCitizen-5
Oregon,137,45,36,5/31/16,Morning Consult-31
Oregon,128.5,43,32,5/9/16,Anderson Robbins + Shaw-4
Oregon,46,45,38,2/29/16,Morning Consult-29
Oregon,1,54,43,1/1/16,Election 2012-1
Pennsylvania,292,45,41,10/19/16,Emerson Coll.-3
Pennsylvania,287,47,41,10/16/16,Quinnipiac U.-7
Pennsylvania,286,46,40,10/16/16,SurveyMonkey-9
Pennsylvania,283,48,39,10/11/16,Selzer-5
Pennsylvania,280,48,40,10/7/16,YouGov-3
Pennsylvania,278.5,49,37,10/6/16,Marist Coll.-4
Pennsylvania,275.5,50,40,10/3/16,Monmouth U.-4
Pennsylvania,274,47,38,10/2/16,Franklin+Marshall Coll.-5
Pennsylvania,273.5,45,41,10/2/16,Quinnipiac U.-6
Pennsylvania,271.5,45,39,9/28/16,PPP-2
Pennsylvania,266.5,45,44,9/25/16,Opinion Research-6
Pennsylvania,265,40,38,9/23/16,Muhlenberg Coll.-5
Pennsylvania,261.5,42,41,9/23/16,Mercyhurst U.-12
Pennsylvania,258,40,32,9/16/16,Muhlenberg Coll.-5
Pennsylvania,246.5,44,39,9/7/16,Quinnipiac U.-10
Pennsylvania,244.5,45,37,9/2/16,YouGov-4
Pennsylvania,243.5,47,42,8/31/16,PPP-2
Pennsylvania,240.5,48,40,8/29/16,Monmouth U.-4
Pennsylvania,240,41,38,8/29/16,Franklin+Marshall Coll.-5
Pennsylvania,239.5,48,43,8/27/16,PPP-2
Pennsylvania,239.5,46,43,8/28/16,Emerson Coll.-4
Pennsylvania,233.5,41,38,9/1/16,SurveyMonkey-24
Pennsylvania,218,45,36,8/7/16,Marist Coll.-5
Pennsylvania,216,48,39,8/7/16,Quinnipiac U.-9
Pennsylvania,212.5,49,38,8/1/16,Franklin+Marshall Coll.-4
Pennsylvania,212,45,42,7/31/16,PPP-3
Pennsylvania,208,46,37,7/27/16,Suffolk U.-3
Pennsylvania,189.5,43,35,7/10/16,Marist Coll.-6
Pennsylvania,187.5,34,40,7/11/16,Quinnipiac U.-12
Pennsylvania,174.5,46,42,6/23/16,PPP-2
Pennsylvania,165.5,39,36,6/19/16,Quinnipiac U.-12
Pennsylvania,156,41,40,6/5/16,PPP-3
Pennsylvania,137,43,42,5/31/16,Morning Consult-31
Pennsylvania,123.5,43,42,5/8/16,Quinnipiac U.-12
Pennsylvania,110,54,39,4/20/16,Marist Coll.-3
Pennsylvania,96.5,44,44,4/7/16,Anderson Robbins + Shaw-4
Pennsylvania,92.5,45,42,4/4/16,Quinnipiac U.-6
Pennsylvania,77,46,33,3/20/16,Franklin+Marshall Coll.-7
Pennsylvania,66,43,35,3/11/16,Mercyhurst U.-11
Pennsylvania,46,43,42,2/29/16,Morning Consult-29
Pennsylvania,1,52,47,1/1/16,Election 2012-1
Rhode Island,277,52,32,10/4/16,Emerson Coll.-3
Rhode Island,247.5,44,41,9/5/16,Emerson College-4
Rhode Island,233.5,41,33,9/1/16,SurveyMonkey-24
Rhode Island,137,47,36,5/31/16,Morning Consult-31
Rhode Island,46,49,36,2/29/16,Morning Consult-29
Rhode Island,1,63,36,1/1/16,Election 2012-1
South Carolina,266,38,42,9/26/16,Winthrop U.-9
South Carolina,253,38,53,9/12/16,Trafalgar Group-7
South Carolina,233.5,38,45,9/1/16,SurveyMonkey-24
South Carolina,229,37,41,8/17/16,Gravis-3
South Carolina,222.5,39,41,8/10/16,PPP-2
South Carolina,137,37,46,5/31/16,Morning Consult-31
South Carolina,46,36,47,2/29/16,Morning Consult-29
South Carolina,1,44,55,1/1/16,Election 2012-1
South Dakota,233.5,29,43,9/1/16,SurveyMonkey-24
South Dakota,137,32,47,5/31/16,Morning Consult-31
South Dakota,46,38,45,2/29/16,Morning Consult-29
South Dakota,1,40,58,1/1/16,Election 2012-1
Tennessee,274,36,48,10/2/16,Middle Tenn. State U.-5
Tennessee,269.5,33,44,10/2/16,Princeton Survey-14
Tennessee,233.5,31,51,9/1/16,SurveyMonkey-24
Tennessee,211,30,47,7/31/16,iCitizen-5
Tennessee,137,33,49,5/31/16,Morning Consult-31
Tennessee,124,35,44,5/11/16,Princeton Survey-17
Tennessee,46,34,50,2/29/16,Morning Consult-29
Tennessee,1,39,60,1/1/16,Election 2012-1
Texas,294.5,43,46,10/21/16,YouGov-2
Texas,286,42,44,10/16/16,SurveyMonkey-9
Texas,285,43,47,10/12/16,SurveyUSA-3
Texas,285,38,41,10/15/16,U. of Houston-9
Texas,252.5,36,42,9/10/16,Emerson Coll.-4
Texas,250,32,39,9/11/16,Texas Lyceum-11
Texas,233.5,40,40,9/1/16,SurveyMonkey-24
Texas,226,38,44,8/14/16,PPP-3
Texas,221.5,35,46,8/9/16,Dixie Strategies-2
Texas,167,32,39,6/20/16,U. of Texas-11
Texas,166.5,33,41,6/19/16,YouGov-10
Texas,137,38,44,5/31/16,Morning Consult-31
Texas,46,39,44,2/29/16,Morning Consult-29
Texas,1,41,57,1/1/16,Election 2012-1
Utah,292,24,27,10/19/16,Emerson Coll.-3
Utah,289,25,30,10/18/16,Dan Jones-7
Utah,287,20,37,10/14/16,YouGov-3
Utah,285,28,34,10/12/16,Monmouth U.-3
Utah,249,24,39,9/9/16,Dan Jones-9
Utah,233.5,27,34,9/1/16,SurveyMonkey-24
Utah,233,24,39,8/21/16,PPP-3
Utah,208.5,25,37,8/4/16,Dan Jones-18
Utah,164.5,27,36,6/17/16,Dan Jones-10
Utah,157,35,35,6/8/16,SurveyUSA-7
Utah,152.5,26,29,6/1/16,Gravis-2
Utah,137,33,45,5/31/16,Morning Consult-31
Utah,127,30,43,5/10/16,Dan Jones-9
Utah,71.5,38,36,3/15/16,Dan Jones-8
Utah,46,31,46,2/29/16,Morning Consult-29
Utah,1,25,73,1/1/16,Election 2012-1
Vermont,280.5,45,17,10/14/16,Castleton State Coll.-16
Vermont,247.5,47,26,9/5/16,Emerson College-4
Vermont,233.5,45,24,9/1/16,SurveyMonkey-24
Vermont,199,39,17,7/23/16,Castleton State Coll.-13
Vermont,137,49,32,5/31/16,Morning Consult-31
Vermont,46,55,31,2/29/16,Morning Consult-29
Vermont,1,67,31,1/1/16,Election 2012-1
Virginia,291.5,45,33,10/19/16,Christopher Newport U.-4
Virginia,286.5,44,29,10/14/16,Christopher Newport U.-4
Virginia,286,49,38,10/16/16,SurveyMonkey-9
Virginia,285,46,43,10/12/16,Emerson Coll.-3
Virginia,278,45,36,10/6/16,Roanoke Coll.-5
Virginia,274,46,34,10/2/16,Hampton University-5
Virginia,272.5,42,35,9/30/16,Christopher Newport U.-4
Virginia,271.5,46,40,9/28/16,PPP-2
Virginia,266,45,37,9/23/16,YouGov-3
Virginia,263,39,33,9/23/16,Christopher Newport U.-9
Virginia,261,45,39,9/21/16,Quinnipiac U.-9
Virginia,259.5,44,37,9/20/16,Roanoke Coll.-10
Virginia,254,45,39,9/11/16,PPP-3
Virginia,253,40,37,9/12/16,U. of Mary Washington-7
Virginia,244,44,43,9/1/16,Emerson College-3
Virginia,239,43,41,8/28/16,Hampton University-5
Virginia,233.5,43,36,9/1/16,SurveyMonkey-24
Virginia,225.5,46,39,8/14/16,Washington Post-4
Virginia,225.5,45,34,8/16/16,Quinnipiac U.-8
Virginia,225,48,32,8/17/16,Roanoke Coll.-11
Virginia,220,43,31,8/10/16,Marist Coll.-7
Virginia,216.5,49,37,8/5/16,YouGov-4
Virginia,208.5,42,46,7/27/16,RABA Research-2
Virginia,192.5,39,34,7/12/16,Anderson Robbins + Shaw-4
Virginia,190,39,39,7/10/16,Hampton U.-5
Virginia,190,41,34,7/11/16,Marist Coll.-7
Virginia,166,42,39,6/15/16,PPP-3
Virginia,145,44,38,5/24/16,Gravis-1
Virginia,137,44,39,5/31/16,Morning Consult-31
Virginia,134,38,38,5/17/16,Roanoke Coll.-9
Virginia,88.5,44,35,4/3/16,Christopher Newport U.-12
Virginia,46,45,40,2/29/16,Morning Consult-29
Virginia,22,52,35,1/26/16,Roanoke Coll.-9
Virginia,1,51,48,1/1/16,Election 2012-1
Washington,275,47,31,10/3/16,Strategies 360-5
Washington,269.5,44,38,9/26/16,Emerson Coll.-2
Washington,233.5,41,31,9/1/16,SurveyMonkey-24
Washington,224,43,24,8/13/16,Elway Poll-5
Washington,166.5,49,37,6/15/16,PPP-2
Washington,137,48,34,5/31/16,Morning Consult-31
Washington,46,48,34,2/29/16,Morning Consult-29
Washington,1,56,42,1/1/16,Election 2012-1
West Virginia,233.5,27,52,9/1/16,SurveyMonkey-24
West Virginia,231.5,31,49,8/28/16,R.L. Repass-20
West Virginia,137,28,56,5/31/16,Morning Consult-31
West Virginia,46,29,54,2/29/16,Morning Consult-29
West Virginia,1,36,62,1/1/16,Election 2012-1
Wisconsin,292.5,50,38,10/19/16,PPP-2
Wisconsin,290.5,47,40,10/18/16,Monmouth U.-4
Wisconsin,288.5,47,39,10/16/16,St. Norbert Coll.-4
Wisconsin,286,43,38,10/16/16,SurveyMonkey-9
Wisconsin,281.5,44,37,10/9/16,Marquette Law School-4
Wisconsin,280,43,39,10/7/16,YouGov-3
Wisconsin,278.5,43,35,10/5/16,Loras Coll.-2
Wisconsin,263.5,45,38,9/20/16,Emerson Coll.-2
Wisconsin,260.5,41,38,9/18/16,Marquette Law School-4
Wisconsin,241.5,43,38,8/30/16,Monmouth U.-4
Wisconsin,239.5,48,41,8/27/16,PPP-2
Wisconsin,239.5,41,38,8/28/16,Marquette Law School-4
Wisconsin,233.5,39,37,9/1/16,SurveyMonkey-24
Wisconsin,218.5,42,33,8/7/16,Marquette Law School-4
Wisconsin,190.5,43,37,7/10/16,Marquette Law School-4
Wisconsin,174.5,47,39,6/23/16,PPP-2
Wisconsin,174.5,41,36,6/24/16,YouGov-4
Wisconsin,162.5,46,37,6/12/16,PPP-4
Wisconsin,159.5,46,37,6/9/16,Marquette Law School-4
Wisconsin,137,41,39,5/31/16,Morning Consult-31
Wisconsin,104.5,46,34,4/15/16,St. Norbert Coll.-4
Wisconsin,92,47,37,4/3/16,Emerson Coll.-5
Wisconsin,89,49,35,3/30/16,Anderson Robbins + Shaw-3
Wisconsin,86,47,37,3/28/16,Marquette Law School-5
Wisconsin,50.5,48,39,2/21/16,Marquette Law School-4
Wisconsin,46,43,38,2/29/16,Morning Consult-29
Wisconsin,22.5,48,38,1/24/16,Marquette Law School-4
Wisconsin,1,53,46,1/1/16,Election 2012-1
Wyoming,252.5,19,54,9/11/16,DFM Research-6
Wyoming,233.5,21,57,9/1/16,SurveyMonkey-24
Wyoming,137,25,59,5/31/16,Morning Consult-31
Wyoming,46,27,55,2/29/16,Morning Consult-29
Wyoming,1,28,69,1/1/16,Election 2012-1
